symbol,name,reportDate,percentChanges,meanAbsolutePercentChange
EGHT,8X8 Inc,2024-11-04,"['-25.97%', '20.09%', '-11.61%', '36.24%', '-21.62%', '-3.42%', '27.35%', '21.11%']",20.93%
ACBM,ACBM,2024-11-04,['0.0%'],0.0%
ACRXF,ACRXF,2024-11-04,"['0.0%', '0.0%']",0.0%
ADXS,ADXS,2024-11-04,"['0.0%', '6.43%', '2.15%', '4.27%', '-1.72%', '3.46%', '-6.63%', '-1.6%']",3.28%
AGM-PD,AGM-PD,2024-11-04,['1.34%'],1.34%
AGM-PE,AGM-PE,2024-11-04,['1.69%'],1.69%
AGM-PF,AGM-PF,2024-11-04,['0.65%'],0.65%
AGM-PG,AGM-PG,2024-11-04,['2.01%'],2.01%
AGMJF,AGMJF,2024-11-04,['-3.29%'],3.29%
AHH-PA,AHH-PA,2024-11-04,['1.88%'],1.88%
AKTAF,AKTAF,2024-11-04,['0.7%'],0.7%
AMK,AMK,2024-11-04,"['0.06%', '0.03%', '1.4%', '3.72%', '2.34%', '-8.74%', '13.6%', '13.06%', '0.05%', '-7.01%', '-0.83%', '4.61%']",4.62%
ANG-PA,ANG-PA,2024-11-04,['0.36%'],0.36%
ANG-PB,ANG-PB,2024-11-04,['0.48%'],0.48%
ANIOY,ANIOY,2024-11-04,"['-7.66%', '1.78%']",4.72%
ORKA,ARCA biopharma Inc,2024-11-04,"['1.84%', '5.07%']",3.46%
ARTNB,ARTNB,2024-11-04,['-0.84%'],0.84%
ATIP,ATI Physical Therapy Inc - Class A,2024-11-04,"['-5.75%', '-7.0%', '-4.95%', '3.06%', '-3.54%', '-3.79%', '30.97%', '-40.0%']",12.38%
ATRWF,ATRWF,2024-11-04,['-2.43%'],2.43%
ABCL,AbCellera Biologics Inc,2024-11-04,"['-7.72%', '-4.95%', '-9.42%', '6.09%', '-13.34%', '-9.38%', '-1.12%', '-3.51%']",6.94%
ADUS,Addus HomeCare Corporation,2024-11-04,"['5.77%', '6.84%', '5.46%', '-5.16%', '1.5%', '-2.57%', '2.56%', '6.01%']",4.48%
AOSL,Alpha & Omega Semiconductor Ltd,2024-11-04,"['4.57%', '20.87%', '-10.64%', '-15.37%', '7.79%', '3.17%', '-12.76%', '4.31%']",9.94%
BCC,Boise Cascade Company,2024-11-04,"['4.37%', '-6.24%', '-7.92%', '-0.22%', '3.17%', '3.71%', '6.18%', '0.19%']",4.0%
BFAM,Bright Horizons Family Solutions Inc,2024-11-04,"['14.12%', '6.67%', '10.37%', '9.08%', '-0.45%', '10.46%', '10.72%', '1.04%']",7.86%
BCOV,Brightcove Inc,2024-11-04,"['0.94%', '2.12%', '-15.45%', '-8.1%', '-1.18%', '-12.78%', '-16.4%', '-6.77%']",7.97%
CGJTF,CGJTF,2024-11-04,['0.0%'],0.0%
CHMI-PA,CHMI-PA,2024-11-04,['-1.56%'],1.56%
CHMI-PB,CHMI-PB,2024-11-04,['-0.04%'],0.04%
CLOQ,CLOQ,2024-11-04,['-4.69%'],4.69%
CMVLF,CMVLF,2024-11-04,['0.0%'],0.0%
CRSP,CRISPR Therapeutics AG,2024-11-04,"['-0.66%', '0.49%', '4.67%', '13.57%', '9.74%', '13.33%']",7.08%
CBT,Cabot Corp,2024-11-04,"['16.38%', '5.35%', '7.86%', '8.31%', '-0.41%', '-3.47%', '1.86%', '-8.48%']",6.51%
CDNA,Caredx Inc,2024-11-04,"['17.96%', '34.09%', '9.47%', '13.9%', '-11.23%', '-2.68%', '14.34%', '-14.47%']",14.77%
CSTL,Castle Biosciences Inc,2024-11-04,"['13.96%', '6.52%', '-25.95%', '7.99%', '11.79%', '-3.93%', '-9.21%', '-2.02%']",10.17%
CTRM,Castor Maritime Inc,2024-11-04,['8.86%'],8.86%
CE,Celanese Corp - Series A,2024-11-04,"['-4.36%', '-1.13%', '0.68%', '-2.88%', '0.48%', '-1.54%', '2.56%', '-2.7%']",2.04%
CLLS,Cellectis,2024-11-04,"['-0.48%', '-2.16%', '0.0%', '-13.41%', '-5.13%', '1.06%', '-3.94%', '-4.1%', '10.9%', '3.93%']",4.51%
CENX,Century Aluminum Company,2024-11-04,"['-2.47%', '-7.72%', '-3.3%', '2.95%', '-8.57%', '-7.8%', '2.7%', '8.24%']",5.47%
CC,Chemours Company,2024-11-04,"['-11.88%', '-2.8%', '-9.07%', '-2.72%', '-3.64%', '4.01%', '2.54%', '0.59%']",4.66%
ECSNF,ECSNF,2024-11-04,['0.0%'],0.0%
ENDI,ENDI,2024-11-04,['0.0%'],0.0%
EQH-PA,EQH-PA,2024-11-04,['-0.59%'],0.59%
EQH-PC,EQH-PC,2024-11-04,['-2.27%'],2.27%
ESAIY,ESAIY,2024-11-04,['-2.61%'],2.61%
ELME,Elme Communities,2024-11-04,"['1.44%', '0.92%', '-3.09%', '-3.73%', '-4.74%', '-3.15%', '1.49%', '2.59%']",2.64%
ENTG,Entegris Inc,2024-11-04,"['-3.39%', '-7.23%', '5.71%', '-3.5%', '-0.78%', '19.61%', '0.24%', '-20.97%']",7.68%
EQH,Equitable Holdings Inc,2024-11-04,"['0.97%', '4.61%', '2.93%', '-5.12%', '0.39%', '-6.32%', '-2.87%', '-7.31%']",3.81%
EVEX,Eve Holding Inc,2024-11-04,"['1.11%', '1.27%', '5.03%', '-1.74%', '-0.71%', '0.77%', '5.75%', '0.94%']",2.17%
EVER,EverQuote Inc - Class A,2024-11-04,"['11.85%', '18.4%', '2.86%', '16.94%', '-15.22%', '2.41%', '-22.13%', '4.43%']",11.78%
FBRT-PE,FBRT-PE,2024-11-04,['0.56%'],0.56%
FPLSF,FPLSF,2024-11-04,['8.48%'],8.48%
FZMD,FZMD,2024-11-04,['0.0%'],0.0%
FN,Fabrinet,2024-11-04,"['15.74%', '10.85%', '-18.41%', '6.14%', '31.58%', '-0.9%', '-7.68%', '9.45%']",12.59%
AGM-A,Federal Agricultural Mortgage Corp - Class A,2024-11-04,['-5.45%'],5.45%
GLRE,Greenlight Capital Re Ltd - Class A,2024-11-04,"['-2.41%', '2.12%', '3.34%', '-1.93%', '6.27%', '-5.45%', '3.62%', '-9.09%']",4.28%
GYRE,Gyre Therapeutics Inc,2024-11-04,"['-0.64%', '-2.53%', '-2.69%', '-1.85%']",1.93%
HCKT,Hackett Group Inc (The),2024-11-04,"['1.98%', '-2.88%', '9.29%', '-8.27%', '2.15%', '-1.77%', '-12.85%', '5.96%']",5.64%
HSII,Heidrick & Struggles International Inc,2024-11-04,"['15.18%', '-2.94%', '18.96%', '7.38%', '3.12%', '-8.26%', '14.74%', '-4.65%']",9.4%
HTZ,Hertz Global Holdings Inc (New),2024-11-04,"['-7.6%', '-19.31%', '8.89%', '-10.67%', '-11.65%', '6.14%', '7.47%', '-0.64%']",9.05%
HPK,HighPeak Energy Inc,2024-11-04,"['-1.85%', '9.55%', '-9.67%', '-5.14%', '4.8%', '-8.01%', '-4.14%', '0.74%']",5.49%
HIMS,Hims & Hers Health Inc - Class A,2024-11-04,"['-5.38%', '6.01%', '31.02%', '10.99%', '-5.82%', '-10.13%', '16.79%', '19.7%']",13.23%
HOLX,Hologic Inc,2024-11-04,"['3.6%', '0.83%', '-2.65%', '7.34%', '-3.54%', '-4.22%', '2.01%', '9.34%']",4.19%
HMN,Horace Mann Educators Corp,2024-11-04,"['-1.47%', '-9.19%', '3.35%', '3.22%', '-4.14%', '4.88%', '-1.93%', '-2.42%']",3.83%
HHH,Howard Hughes Corporation,2024-11-04,"['5.52%', '0.72%', '-0.24%', '0.78%', '-7.41%']",2.93%
HDSN,Hudson Technologies Inc,2024-11-04,"['6.76%', '-7.14%', '-18.5%', '-2.84%', '26.54%', '0.92%', '-9.0%', '14.8%']",10.81%
ICDI,ICDI,2024-11-04,['-39.67%'],39.67%
IDGXF,IDGXF,2024-11-04,['0.0%'],0.0%
INN-PE,INN-PE,2024-11-04,['-0.62%'],0.62%
INN-PF,INN-PF,2024-11-04,['-0.66%'],0.66%
ICHR,Ichor Holdings Ltd,2024-11-04,"['3.31%', '-2.82%', '3.27%', '-11.14%', '-3.15%', '-6.53%', '4.12%', '0.35%']",4.34%
LIANY,LIANY,2024-11-04,['7.59%'],7.59%
LSEA,Landsea Homes Corporation - Class A,2024-11-04,"['3.37%', '-12.12%', '14.94%', '1.67%', '5.67%', '-3.58%', '0.89%', '2.13%']",5.55%
LSCC,Lattice Semiconductor Corp,2024-11-04,"['-9.44%', '-10.75%', '1.83%', '-17.36%', '2.24%', '2.5%', '7.94%', '8.39%']",7.56%
MNSEF,MNSEF,2024-11-04,['-33.33%'],33.33%
MQ,Marqeta Inc - Class A,2024-11-04,"['8.52%', '0.17%', '-10.91%', '18.69%', '11.69%', '-4.51%', '-22.41%', '14.9%']",11.48%
MAR,Marriott International Inc - Class A,2024-11-04,"['-4.8%', '-0.96%', '-5.59%', '-1.64%', '1.45%', '4.98%', '3.96%', '-4.26%']",3.46%
MTTR,Matterport Inc - Class A,2024-11-04,"['-1.94%', '-0.22%', '-16.93%', '25.94%', '-14.49%', '5.97%', '-9.03%', '24.42%']",12.37%
MED,Medifast Inc,2024-11-04,"['-2.83%', '-22.47%', '-17.47%', '-2.5%', '-6.94%', '-2.66%', '-2.42%', '4.12%']",7.68%
MIRM,Mirum Pharmaceuticals Inc,2024-11-04,"['2.34%', '3.15%', '-0.62%', '5.67%', '6.31%', '-5.82%', '-1.01%', '-16.37%']",5.16%
MYE,Myers Industries Inc,2024-11-04,"['4.3%', '-20.75%', '6.75%', '-2.62%', '-4.33%', '-2.23%', '-15.36%', '8.94%']",8.16%
MYND,Mynd.ai Inc,2024-11-04,['-3.49%'],3.49%
NETLF,NETLF,2024-11-04,['0.0%'],0.0%
NRBT,NRBT,2024-11-04,['0.0%'],0.0%
NSARO,NSARO,2024-11-04,['0.11%'],0.11%
NSARP,NSARP,2024-11-04,['0.0%'],0.0%
NSTG,NSTG,2024-11-04,"['1.81%', '8.86%', '-5.32%', '-5.02%', '-32.54%', '4.55%', '-7.1%', '4.28%', '-1.97%', '-2.67%', '-4.32%', '-0.28%']",6.56%
NTTDF,NTTDF,2024-11-04,['0.0%'],0.0%
NUMD,NUMD,2024-11-04,['-2.86%'],2.86%
NXPI,NXP Semiconductors NV,2024-11-04,"['-7.58%', '3.67%', '0.9%', '1.64%', '4.27%', '3.31%', '2.69%']",3.44%
NVTS,Navitas Semiconductor Corp,2024-11-04,"['5.25%', '-12.58%', '-7.82%', '10.02%', '4.65%', '20.33%', '6.24%', '10.0%']",9.61%
PLMR,Palomar Holdings Inc,2024-11-04,"['5.37%', '3.66%', '18.41%', '10.05%', '-3.73%', '-0.99%', '1.66%', '-24.53%']",8.55%
PARR,Par Pacific Holdings Inc,2024-11-04,"['1.73%', '-1.85%', '-8.86%', '0.34%', '7.48%', '-2.3%', '3.37%', '-0.99%']",3.36%
FNA,Paragon 28 Inc,2024-11-04,"['-20.1%', '-13.16%', '-5.77%', '-7.15%', '-6.76%', '-2.01%', '0.57%', '11.31%', '-2.16%', '-1.68%', '14.12%']",7.71%
PSTV,Plus Therapeutics Inc,2024-11-04,"['-1.41%', '-3.02%', '-11.01%', '5.74%', '-2.8%', '-16.13%', '-5.13%']",6.46%
PSTL,Postal Realty Trust Inc Cls A,2024-11-04,"['0.14%', '-0.22%', '2.1%', '-1.71%', '1.03%', '2.27%', '1.44%', '0.7%']",1.2%
PRIM,Primoris Services Corp,2024-11-04,"['6.02%', '5.0%', '-6.86%', '3.46%', '5.2%', '-0.12%', '5.93%']",4.66%
PTGX,Protagonist Therapeutics Inc,2024-11-04,"['1.17%', '5.12%', '2.84%', '8.05%', '3.28%', '5.13%', '-3.74%', '-0.39%']",3.71%
TARA,Protara Therapeutics Inc,2024-11-04,"['0.0%', '-1.37%', '2.24%', '11.57%', '1.2%', '-1.29%', '-1.85%', '-1.01%']",2.57%
PRTA,Prothena Corporation plc,2024-11-04,"['4.42%', '-4.47%', '-1.75%', '7.41%', '-7.3%', '12.02%', '7.11%', '-5.43%']",6.24%
PRPL,Purple Innovation Inc - Class A,2024-11-04,"['-8.47%', '-8.93%', '-18.63%', '-31.14%', '-13.19%', '19.2%', '-19.7%', '31.09%']",18.79%
RCFA,RCF Acquisition Corp - Class A,2024-11-04,['-0.09%'],0.09%
RCFA-UN,RCFA-UN,2024-11-04,['0.0%'],0.0%
RDGL,RDGL,2024-11-04,['-3.32%'],3.32%
REDLF,REDLF,2024-11-04,['0.0%'],0.0%
ROII,ROII,2024-11-04,['3.77%'],3.77%
METC,Ramaco Resources Inc - Class A,2024-11-04,"['13.03%', '-16.67%', '8.44%', '2.45%', '-12.18%', '12.03%', '-4.42%', '-9.86%']",9.88%
METCB,Ramaco Resources Inc - Class B,2024-11-04,['3.86%'],3.86%
SMLR,Semler Scientific Inc,2024-11-04,"['4.56%', '-25.29%', '-16.89%', '10.03%', '8.86%', '12.58%', '15.79%', '-34.86%']",16.11%
ST,Sensata Technologies Holding Plc,2024-11-04,"['0.71%', '7.13%', '-8.47%', '-6.51%', '-8.46%', '-7.79%', '10.83%', '-5.19%']",6.89%
SLAB,Silicon Laboratories Inc,2024-11-04,"['-0.7%', '-8.89%', '13.03%', '-5.44%', '-9.02%', '-9.06%', '14.08%', '-2.27%']",7.81%
SEI,Solaris Energy Infrastructure Inc - Class A,2024-11-04,['37.36%'],37.36%
STHO,Star Holdings,2024-11-04,['1.07%'],1.07%
STRT,Strattec Security Corp,2024-11-04,"['26.05%', '6.12%', '8.84%', '0.0%', '0.04%', '0.78%', '-12.82%', '-2.12%']",7.1%
INN,Summit Hotel Properties Inc,2024-11-04,"['2.92%', '1.81%', '-2.58%', '11.03%', '-4.61%', '0.76%', '-6.92%', '-4.32%']",4.37%
SUPN,Supernus Pharmaceuticals Inc,2024-11-04,"['14.49%', '-4.15%', '1.27%', '11.14%', '-7.23%', '1.49%', '4.42%', '-5.82%']",6.25%
TKKYY,TKKYY,2024-11-04,['0.0%'],0.0%
TRSNF,TRSNF,2024-11-04,['0.0%'],0.0%
TALO,Talos Energy Inc,2024-11-04,"['16.97%', '-4.34%', '1.46%', '-4.17%', '2.91%', '-15.5%', '1.19%', '-1.14%']",5.96%
BWIN,The Baldwin Insurance Group Inc - Class A,2024-11-04,"['2.41%', '12.06%']",7.24%
TDUP,ThredUp Inc - Class A,2024-11-04,"['-62.72%', '4.84%', '-16.53%', '-33.43%', '26.09%', '10.03%', '51.23%', '21.33%']",28.27%
TRS,Trimas Corporation,2024-11-04,"['-7.1%', '-2.84%', '-8.45%', '1.49%', '-2.29%', '-0.08%', '-2.54%', '-21.22%']",5.75%
TGI,Triumph Group Inc,2024-11-04,"['-15.31%', '-11.6%', '-17.03%', '12.01%', '-24.6%', '15.22%', '7.46%', '17.67%']",15.11%
TBI,TrueBlue Inc,2024-11-04,"['-24.37%', '-0.28%', '-11.18%', '-21.67%', '-18.43%', '-12.91%', '-10.0%', '-9.06%']",13.49%
UCPLF,UCPLF,2024-11-04,['0.0%'],0.0%
UNQL,UNQL,2024-11-04,['-9.26%'],9.26%
UNXP,UNXP,2024-11-04,['0.0%'],0.0%
VYGR,Voyager Therapeutics Inc,2024-11-04,"['-14.04%', '0.0%', '-7.25%', '5.08%', '3.44%', '29.48%', '-7.79%', '9.6%']",9.58%
WJXFF,WJXFF,2024-11-04,['0.0%'],0.0%
WOW,WideOpenWest Inc,2024-11-04,"['0.39%', '-4.13%', '-11.27%', '-56.89%', '-8.94%', '-19.35%', '6.8%', '-16.36%']",15.52%
WYNN,Wynn Resorts Ltd,2024-11-04,"['-1.89%', '-1.52%', '6.29%', '-5.69%', '2.63%', '-0.18%', '4.8%', '5.45%']",3.56%
YUMC,Yum China Holdings Inc,2024-11-04,"['11.98%', '-8.82%', '7.88%', '-15.22%', '-5.98%', '1.33%', '-0.63%', '7.57%']",7.43%
ZTS,Zoetis Inc - Class A,2024-11-04,"['5.99%', '5.51%', '-6.71%', '6.25%', '4.77%', '0.42%', '5.37%', '-11.01%']",5.75%
DDD,3D Systems Corp,2024-11-05,"['-8.15%', '2.78%', '-23.14%', '2.61%', '-8.42%', '-9.02%', '13.48%', '5.69%']",9.16%
ADLRF,ADLRF,2024-11-05,['0.0%'],0.0%
AGCO,AGCO Corp,2024-11-05,"['-5.7%', '-1.35%', '1.04%', '2.19%', '-3.13%', '2.66%', '-0.01%', '-5.89%']",2.75%
AGGZF,AGGZF,2024-11-05,['-8.95%'],8.95%
AGLY,AGLY,2024-11-05,['0.0%'],0.0%
AHEXY,AHEXY,2024-11-05,['0.31%'],0.31%
APO,Apollo Global Management Inc - Class A (New),2024-11-05,"['-7.45%', '3.99%', '1.43%', '8.02%', '5.66%', '0.7%', '-7.43%', '3.95%']",4.83%
ARCH,Arch Resources Inc - Class A,2024-11-05,"['-3.83%', '3.89%', '-3.97%', '0.21%', '1.57%', '1.86%', '9.66%', '14.2%']",4.9%
ADM,Archer Daniels Midland Company,2024-11-05,"['-1.26%', '-3.34%', '3.93%', '-4.05%', '3.54%', '-6.06%', '-0.78%', '2.08%']",3.13%
AACT,Ares Acquisition Corporation II - Class A,2024-11-05,['0.0%'],0.0%
AIP,Arteris Inc,2024-11-05,"['-1.58%', '38.45%', '-0.44%', '-27.48%', '3.6%', '17.54%', '-16.89%', '-7.6%']",14.2%
AIZ,Assurant Inc,2024-11-05,"['0.01%', '-1.14%', '3.82%', '11.81%', '5.72%', '9.28%', '-3.16%', '-2.73%']",4.71%
BGS,B&G Foods Inc,2024-11-05,"['-2.66%', '-28.31%', '21.28%', '0.69%', '8.06%', '-2.52%', '28.49%', '2.94%']",11.87%
BCTF,BCTF,2024-11-05,['-2.79%'],2.79%
BIRDF,BIRDF,2024-11-05,['3.22%'],3.22%
BOZTY,BOZTY,2024-11-05,['0.0%'],0.0%
BRLGF,BRLGF,2024-11-05,['0.0%'],0.0%
BYDGF,BYDGF,2024-11-05,['5.49%'],5.49%
BZTAF,BZTAF,2024-11-05,['0.0%'],0.0%
BCSF,Bain Capital Specialty Finance Inc,2024-11-05,"['-2.47%', '-1.49%', '0.0%', '-2.61%', '2.07%', '5.56%', '1.31%', '3.78%']",2.41%
BVS,Bioventus Inc - Class A,2024-11-05,"['29.23%', '28.0%', '5.46%', '0.42%', '14.12%', '9.17%', '-11.57%', '-57.51%']",19.43%
CTRRF,CTRRF,2024-11-05,['-2.39%'],2.39%
CXBMF,CXBMF,2024-11-05,['0.0%'],0.0%
CRC,California Resources Corporation - New,2024-11-05,"['5.59%', '-5.38%', '-4.22%', '0.4%', '-4.03%', '-0.02%', '7.8%', '5.29%']",4.09%
CVR,Chicago Rivet & Machine Company,2024-11-05,"['4.28%', '0.0%', '-2.33%']",2.2%
CIGI,Colliers International Group Inc,2024-11-05,"['4.18%', '-0.07%', '9.56%', '-6.76%', '8.44%', '-10.3%', '6.53%', '-3.67%']",6.19%
CEIX,Consol Energy Inc,2024-11-05,"['4.53%', '3.64%', '-5.32%', '-10.06%', '9.46%', '6.29%', '7.08%', '0.57%']",5.87%
CNSL,Consolidated Communications Holdings Inc,2024-11-05,"['-0.22%', '-1.84%', '-0.23%', '-1.19%', '6.56%', '0.52%', '-23.68%', '3.48%']",4.71%
LOGC,ContextLogic Inc - Class A,2024-11-05,"['-0.56%', '-2.26%']",1.41%
CRBP,Corbus Pharmaceuticals Holdings Inc,2024-11-05,"['-3.8%', '2.45%', '16.46%', '-16.67%', '-0.16%', '-12.44%', '-6.67%', '-1.54%']",7.52%
CMT,Core Molding Technologies,2024-11-05,"['2.47%', '-6.37%', '-0.72%', '-31.1%', '11.0%', '4.83%', '11.75%', '7.26%']",9.44%
CRVS,Corvus Pharmaceuticals Inc,2024-11-05,"['9.67%', '-12.04%', '-5.61%', '1.27%', '7.94%', '-0.38%', '11.42%', '-3.36%']",6.46%
CPNG,Coupang Inc - Class A,2024-11-05,"['2.61%', '-9.26%', '7.99%', '-9.9%', '7.88%', '-4.49%', '-5.42%', '22.59%']",8.77%
CRCT,Cricut Inc - Class A,2024-11-05,"['7.86%', '47.2%', '-3.31%', '-8.62%', '6.44%', '-10.15%', '2.33%', '11.47%']",12.17%
DEDVF,DEDVF,2024-11-05,['0.45%'],0.45%
DREUF,DREUF,2024-11-05,['0.42%'],0.42%
DNLI,Denali Therapeutics Inc,2024-11-05,"['-4.27%', '12.17%', '38.25%', '-4.95%', '-4.26%', '2.86%', '1.27%', '-7.54%']",9.45%
DVN,Devon Energy Corp,2024-11-05,"['2.83%', '-0.12%', '-0.65%', '-2.45%', '-7.34%', '-3.59%', '-10.49%', '-12.76%']",5.03%
DOMA,Doma Holdings Inc - New,2024-11-05,"['0.0%', '0.33%', '-15.17%', '6.57%', '-13.5%', '-3.85%', '-0.07%', '2.27%', '25.0%', '0.7%', '-29.97%', '15.49%']",9.41%
DD,DuPont de Nemours Inc,2024-11-05,"['4.09%', '8.01%', '7.4%']",6.5%
FCMGF,FCMGF,2024-11-05,['0.0%'],0.0%
FMCQF,FMCQF,2024-11-05,['0.0%'],0.0%
FORFF,FORFF,2024-11-05,['0.0%'],0.0%
FOVSY,FOVSY,2024-11-05,['0.0%'],0.0%
FPRUF,FPRUF,2024-11-05,['0.0%'],0.0%
FPRUY,FPRUY,2024-11-05,['0.0%'],0.0%
FORR,Forrester Research Inc,2024-11-05,"['4.07%', '-3.19%', '-7.35%', '-5.27%', '2.52%', '-13.65%', '-14.03%', '-12.91%']",7.87%
FYBR,Frontier Communications Parent Inc,2024-11-05,"['-7.86%', '6.75%', '2.31%', '-3.74%', '0.56%', '-8.38%', '-6.07%', '-0.99%']",4.58%
GEHDF,GEHDF,2024-11-05,['0.0%'],0.0%
GLNS,GLNS,2024-11-05,['0.0%'],0.0%
GLYYF,GLYYF,2024-11-05,['0.0%'],0.0%
IT,Gartner Inc,2024-11-05,"['5.93%', '-8.04%', '-1.72%', '14.55%', '-2.73%', '-1.82%', '3.51%', '7.64%']",5.74%
GGB,Gerdau S.A.,2024-11-05,"['-2.16%', '-1.04%', '1.62%', '-0.21%', '-4.22%', '1.66%', '4.02%', '3.77%']",2.34%
GMED,Globus Medical Inc - Class A,2024-11-05,"['2.14%', '20.19%', '1.55%', '-0.69%', '-1.87%', '3.29%', '0.51%', '-4.2%']",4.31%
GLDD,Great Lakes Dredge & Dock Corporation,2024-11-05,"['5.68%', '24.29%', '17.82%', '-13.6%', '12.5%', '-0.69%', '-8.47%', '3.17%']",10.78%
GO,Grocery Outlet Holding Corp,2024-11-05,"['5.88%', '-19.38%', '-1.21%', '-4.6%', '4.38%', '4.62%', '-2.26%', '-9.52%']",6.48%
GIFI,Gulf Island Fabrication Inc,2024-11-05,"['-10.6%', '-3.71%', '26.64%', '-6.51%', '1.43%', '0.28%', '-16.55%', '-1.2%']",8.37%
GPOR,Gulfport Energy Corp (New),2024-11-05,"['-0.83%', '-5.13%', '0.33%', '5.14%', '-0.95%', '8.36%', '14.96%', '-6.01%']",5.21%
HPURF,HPURF,2024-11-05,['-0.48%'],0.48%
HZNOF,HZNOF,2024-11-05,['0.0%'],0.0%
HAIN,Hain Celestial Group Inc,2024-11-05,"['18.59%', '-0.15%', '-15.87%', '2.07%', '-1.15%', '-12.44%', '0.28%', '3.42%']",6.75%
INZY,Inozyme Pharma Inc,2024-11-05,"['0.21%', '-5.74%', '-0.35%', '7.02%', '3.33%', '9.53%', '-2.3%', '3.7%']",4.02%
IFF,International Flavors & Fragrances Inc,2024-11-05,"['-2.35%', '6.4%', '-6.4%', '-1.04%', '-19.37%', '-7.03%', '-18.75%', '-4.96%']",8.29%
IGIC,International General Insurance Holdings Ltd,2024-11-05,"['-2.06%', '3.96%', '-3.1%', '7.5%', '4.98%', '5.47%', '0.36%', '0.26%', '0.52%']",3.13%
IVR,Invesco Mortgage Capital Inc,2024-11-05,"['0.91%', '1.2%', '0.0%', '-2.68%', '1.06%', '8.7%', '-0.15%', '1.69%']",2.05%
IRBT,Irobot Corp,2024-11-05,"['3.39%', '21.06%', '-2.89%', '-4.28%', '0.54%', '-6.37%', '-0.34%']",5.55%
JHIUF,JHIUF,2024-11-05,['0.0%'],0.0%
JUKIY,JUKIY,2024-11-05,['0.0%'],0.0%
JKHY,Jack Henry & Associates Inc,2024-11-05,"['-0.06%', '-0.04%', '3.22%', '4.54%', '-7.03%', '-1.24%', '-9.32%', '-4.65%']",3.76%
KRNNF,KRNNF,2024-11-05,['0.0%'],0.0%
KRNTY,KRNTY,2024-11-05,['0.0%'],0.0%
KPTI,Karyopharm Therapeutics Inc,2024-11-05,"['-3.56%', '-7.27%', '-12.78%', '-3.18%', '-0.56%', '-24.32%', '10.24%', '4.41%']",8.29%
KTCC,Key Tronic Corp,2024-11-05,"['16.02%', '6.54%', '4.13%', '3.6%', '0.52%', '-11.33%', '-14.83%', '19.57%']",9.57%
