symbol,name,reportDate,percentChanges,meanAbsolutePercentChange
TAP-A,Molson Coors Beverage Company - Class A,2024-11-07,['5.82%'],5.82%
ML,MoneyLion Inc - Class A,2024-11-07,"['-17.94%', '0.18%', '28.18%', '-0.87%', '-10.23%', '-27.61%', '0.88%', '-9.57%']",11.93%
MNPR,Monopar Therapeutics Inc,2024-11-07,"['-19.64%', '-5.2%', '-7.6%', '-3.03%', '3.17%', '-6.6%', '0.62%', '-24.83%']",8.84%
MPAA,Motorcar Parts of America Inc,2024-11-07,"['-0.83%', '-8.65%', '-10.23%', '-1.35%', '-13.89%', '16.89%', '-8.35%', '-10.69%']",8.86%
MSI,Motorola Solutions Inc,2024-11-07,"['2.94%', '5.19%', '0.77%', '6.49%', '-3.08%', '-3.05%', '5.59%', '7.01%']",4.26%
MYGN,Myriad Genetics Inc,2024-11-07,"['2.62%', '21.08%', '-8.04%', '8.69%', '-6.98%', '-3.65%', '13.21%', '-15.62%']",9.99%
NBIO,NBIO,2024-11-07,['0.23%'],0.23%
VYX,NCR Voyix Corp,2024-11-07,"['-6.4%', '-3.57%', '-21.49%', '-1.36%']",8.21%
NCRRP,NCRRP,2024-11-07,['0.0%'],0.0%
NEMKY,NEMKY,2024-11-07,"['0.0%', '0.0%']",0.0%
NEMTF,NEMTF,2024-11-07,"['0.0%', '0.0%']",0.0%
NEXOF,NEXOF,2024-11-07,['0.0%'],0.0%
NEXOY,NEXOY,2024-11-07,['-1.98%'],1.98%
NEXPF,NEXPF,2024-11-07,['0.0%'],0.0%
NEXXY,NEXXY,2024-11-07,['5.5%'],5.5%
NGENF,NGENF,2024-11-07,['-0.76%'],0.76%
NGL,NGL Energy Partners LP,2024-11-07,"['5.13%', '-7.13%', '1.04%', '-5.05%', '-7.24%', '5.99%', '21.64%', '-10.07%']",7.91%
NWSA,News Corp - Class A,2024-11-07,"['3.58%', '2.65%', '6.47%', '-1.74%', '4.58%', '8.48%', '-9.37%', '-5.44%']",5.29%
NWS,News Corp - Class B,2024-11-07,['3.57%'],3.57%
NXST,Nexstar Media Group Inc,2024-11-07,"['-4.86%', '5.85%', '1.48%', '-2.68%', '-4.02%', '-1.09%', '-3.33%', '8.03%']",3.92%
NKTX,Nkarta Inc,2024-11-07,"['3.22%', '-0.79%', '-31.28%', '-0.98%', '1.5%', '0.45%', '2.4%', '-2.31%']",5.37%
NVMI,Nova Ltd,2024-11-07,"['19.48%', '6.64%', '6.05%', '4.93%', '-1.6%', '1.96%', '1.56%', '5.58%']",5.98%
NBY,Novabay Pharmaceuticals Inc,2024-11-07,"['-4.17%', '5.19%', '-11.11%', '-21.43%', '-8.57%', '-6.85%', '-3.0%', '-1.16%']",7.68%
NVAX,Novavax Inc,2024-11-07,"['9.06%', '98.66%', '-26.74%', '-1.32%', '-3.86%', '27.79%', '-25.92%', '-5.19%']",24.82%
NUS,Nu Skin Enterprises Inc - Class A,2024-11-07,"['-3.17%', '2.9%', '-20.71%', '-9.45%', '-7.63%', '-3.32%', '-4.21%', '-13.4%']",8.1%
BURU,Nuburu Inc,2024-11-07,['-9.38%'],9.38%
NCDL,Nuveen Churchill Direct Lending Corp,2024-11-07,"['0.17%', '0.51%', '1.7%']",0.79%
OAK-PA,OAK-PA,2024-11-07,['-0.43%'],0.43%
OAK-PB,OAK-PB,2024-11-07,['-0.75%'],0.75%
OEZVF,OEZVF,2024-11-07,['0.0%'],0.0%
OEZVY,OEZVY,2024-11-07,['-3.21%'],3.21%
ONTF,ON24 Inc,2024-11-07,"['-1.55%', '-4.44%', '-8.31%', '4.5%', '-12.83%', '-0.7%', '-18.88%', '8.73%']",7.49%
OSBK,OSBK,2024-11-07,['0.0%'],0.0%
OVTZ,OVTZ,2024-11-07,['25.0%'],25.0%
OLO,Olo Inc - Class A,2024-11-07,"['12.97%', '0.21%', '2.42%', '-25.64%', '-4.01%', '8.64%', '3.7%', '16.35%']",9.24%
OMER,Omeros Corporation,2024-11-07,"['-5.78%', '-20.62%', '-4.39%', '-0.79%', '1.88%', '21.2%', '9.28%', '-5.67%']",8.7%
ONCT,Oncternal Therapeutics Inc,2024-11-07,"['-4.89%', '-5.32%', '3.68%', '-3.33%', '-8.82%', '3.12%', '-15.73%', '-10.0%']",6.86%
PENN,PENN Entertainment Inc,2024-11-07,"['8.46%', '-8.76%', '-13.82%', '13.98%', '9.1%', '-13.65%', '-5.38%', '-5.12%']",9.78%
PCG,PG&E Corp,2024-11-07,"['-1.26%', '0.41%', '-0.77%', '-1.79%', '-1.73%', '-0.29%', '-1.55%', '1.38%']",1.15%
PGENY,PGENY,2024-11-07,['16.51%'],16.51%
PIAC,PIAC,2024-11-07,['0.0%'],0.0%
PIGEF,PIGEF,2024-11-07,['0.0%'],0.0%
PKTEF,PKTEF,2024-11-07,['0.0%'],0.0%
PLLIF,PLLIF,2024-11-07,['0.0%'],0.0%
PMVP,PMV Pharmaceuticals Inc,2024-11-07,"['0.0%', '-2.78%', '1.35%', '2.15%', '27.69%', '8.33%', '-14.15%', '1.08%']",7.19%
PRTHU,PRTHU,2024-11-07,"['0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%']",0.0%
PSYTF,PSYTF,2024-11-07,['-4.91%'],4.91%
PTCT,PTC Therapeutics Inc,2024-11-07,"['-3.57%', '12.08%', '13.34%', '-22.71%', '-3.99%', '4.75%', '-1.1%', '-13.73%']",9.41%
PUPOF,PUPOF,2024-11-07,['0.0%'],0.0%
PXPHF,PXPHF,2024-11-07,['0.0%'],0.0%
PYCFF,PYCFF,2024-11-07,['0.0%'],0.0%
PACB,Pacific Biosciences of California Inc,2024-11-07,"['9.15%', '2.91%', '-13.94%', '-13.08%', '-7.99%', '3.98%', '-3.24%', '7.24%']",7.69%
PALI,Palisade Bio Inc,2024-11-07,"['1.09%', '1.09%', '0.32%', '8.11%', '1.92%', '2.9%', '-1.85%', '-2.91%']",2.52%
PZZA,Papa John`s International Inc,2024-11-07,"['1.74%', '-6.84%', '2.48%', '-3.54%', '0.83%', '1.66%', '-6.11%', '2.23%']",3.18%
PEB,Pebblebrook Hotel Trust,2024-11-07,"['0.89%', '0.97%', '-2.53%', '-10.09%', '7.65%', '-0.22%', '-0.89%', '-0.18%']",2.93%
PRA,Proassurance Corporation,2024-11-07,"['16.29%', '9.7%', '-5.29%', '-21.28%', '8.17%', '-22.33%', '4.68%', '-12.63%']",12.55%
PROF,Profound Medical Corp,2024-11-07,"['-2.81%', '-9.27%', '-10.86%', '4.8%', '-2.97%', '3.39%', '-5.56%', '18.62%']",7.29%
PMD,Psychemedics Corp,2024-11-07,"['-1.72%', '-8.59%', '3.61%', '-17.8%', '-5.58%', '-3.26%', '16.62%', '-0.67%']",7.23%
PULM,Pulmatrix Inc,2024-11-07,"['4.8%', '-3.31%', '8.02%', '-3.65%', '0.38%', '-4.79%', '-0.77%', '3.06%']",3.6%
PBYI,Puma Biotechnology Inc,2024-11-07,"['9.43%', '-2.02%', '-5.31%', '11.65%', '8.52%', '20.69%', '-19.35%', '26.64%']",12.95%
PCT,PureCycle Technologies Inc,2024-11-07,"['-10.62%', '-2.9%', '-11.48%', '-14.68%', '-0.76%', '-0.81%', '-4.74%', '12.49%']",7.31%
PCTTU,PureCycle Technologies Inc - Units (1 Ord Class A & 3/4 War),2024-11-07,['0.0%'],0.0%
QBCAF,QBCAF,2024-11-07,['0.0%'],0.0%
QBCRF,QBCRF,2024-11-07,['4.25%'],4.25%
QTEYF,QTEYF,2024-11-07,['0.0%'],0.0%
QRHC,Quest Resource Holding Corp,2024-11-07,"['-7.74%', '-2.87%', '1.58%', '-6.46%', '10.58%', '-2.43%', '-6.83%', '-16.83%']",6.91%
QNRX,Quoin Pharmaceuticals Ltd,2024-11-07,"['-7.26%', '0.63%', '-13.79%', '-8.27%', '6.26%', '-14.08%', '-7.83%', '17.07%']",9.4%
QRTEP,Qurate Retail Inc,2024-11-07,['12.14%'],12.14%
QRTEA,Qurate Retail Inc - Series A,2024-11-07,"['4.84%', '0.0%', '5.71%', '58.14%', '0.0%', '23.94%', '-22.27%', '-21.24%']",17.02%
QRTEB,Qurate Retail Inc - Series B,2024-11-07,['5.28%'],5.28%
RATIY,RATIY,2024-11-07,['0.0%'],0.0%
RBCP,RBC Bearings Incorporated 5.00 Series A Mandatory Convertible Preferred Stock,2024-11-07,['-3.21%'],3.21%
RBLAF,RBLAF,2024-11-07,['0.0%'],0.0%
RBLAY,RBLAY,2024-11-07,['0.0%'],0.0%
RC-PC,RC-PC,2024-11-07,['1.41%'],1.41%
RC-PE,RC-PE,2024-11-07,['0.43%'],0.43%
RELOF,RELOF,2024-11-07,['0.0%'],0.0%
RKAGY,RKAGY,2024-11-07,['0.0%'],0.0%
RNWEF,RNWEF,2024-11-07,"['-7.79%', '0.0%', '0.0%', '4.8%', '0.0%', '-6.21%', '8.22%', '-7.58%']",4.33%
RNWEY,RNWEY,2024-11-07,['0.0%'],0.0%
SEIGF,SEIGF,2024-11-07,['0.0%'],0.0%
SEIGY,SEIGY,2024-11-07,['0.0%'],0.0%
SEMR,SEMrush Holdings Inc - Class A,2024-11-07,"['2.01%', '11.15%', '-16.23%', '0.53%', '2.85%', '-16.26%', '9.06%', '-12.88%']",8.87%
SENEM,SENEM,2024-11-07,['0.0%'],0.0%
SESMF,SESMF,2024-11-07,['2.18%'],2.18%
SFEGY,SFEGY,2024-11-07,['0.0%'],0.0%
SGBAF,SGBAF,2024-11-07,"['-5.33%', '-5.33%']",5.33%
SHGDF,SHGDF,2024-11-07,['0.0%'],0.0%
SIGA,SIGA Technologies Inc,2024-11-07,"['-5.84%', '-28.3%', '21.24%', '-6.59%', '-6.24%', '1.89%', '-3.62%', '11.37%']",10.64%
SPLP-PA,SPLP-PA,2024-11-07,['-0.12%'],0.12%
SPPJY,SPPJY,2024-11-07,"['3.13%', '0.0%', '1.69%', '0.45%', '-0.95%', '-2.64%', '-0.99%', '4.84%']",1.84%
STPDF,STPDF,2024-11-07,['0.0%'],0.0%
SUMXF,SUMXF,2024-11-07,['-7.53%'],7.53%
SYZLF,SYZLF,2024-11-07,['11.19%'],11.19%
SGA,Saga Communications Inc - Class A,2024-11-07,"['3.23%', '-5.91%', '1.08%', '0.99%', '-0.47%', '-3.61%', '-5.87%', '3.33%']",3.06%
SAND,Sandstorm Gold Ltd,2024-11-07,"['-2.49%', '4.88%', '0.74%', '-3.33%', '2.49%', '-3.52%', '-5.31%', '5.35%']",3.51%
SCSC,Scansource Inc,2024-11-07,"['-2.07%', '1.89%', '-5.45%', '-7.67%', '-1.8%', '6.1%', '-9.88%', '-3.16%']",4.75%
SEE,Sealed Air Corp,2024-11-07,"['3.43%', '8.82%', '-2.91%', '8.67%', '-9.51%', '-10.84%', '-6.55%', '-6.72%']",7.18%
SENEA,Seneca Foods Corp - Class A,2024-11-07,"['3.28%', '-0.38%', '-5.75%', '-6.71%', '8.41%', '-10.92%', '1.41%', '5.85%']",5.34%
STGW,Stagwell Inc - Class A,2024-11-07,"['-5.54%', '13.28%', '-24.93%', '5.58%', '1.26%', '-5.31%', '11.63%', '-5.01%']",9.07%
SPLP,Steel Partners Holdings LP,2024-11-07,['0.84%'],0.84%
SCM,Stellus Capital Investment Corp,2024-11-07,"['1.03%', '0.92%', '1.73%', '-4.75%', '-4.17%', '-1.54%', '-0.7%', '2.4%']",2.15%
STEP,StepStone Group Inc - Class A,2024-11-07,"['7.7%', '10.11%', '6.28%', '-5.37%', '4.38%', '-3.43%', '-0.64%', '3.18%']",5.14%
SHOO,Steven Madden Ltd,2024-11-07,"['1.98%', '-2.45%', '-0.83%', '-0.15%', '3.42%', '2.17%', '6.35%', '-0.84%']",2.27%
STRA,Strategic Education Inc,2024-11-07,"['-12.77%', '16.28%', '16.55%', '3.95%', '5.42%', '-2.62%', '-6.27%', '8.88%']",9.09%
SSSS,SuRo Capital Corp,2024-11-07,"['-1.05%', '0.26%', '-0.69%', '-0.79%', '-2.6%', '-3.06%', '2.66%', '-8.22%']",2.42%
SPH,Suburban Propane Partners LP,2024-11-07,"['0.18%', '-2.58%', '0.71%', '-1.37%', '0.97%', '-4.14%', '-0.95%', '-2.63%']",1.69%
RUN,Sunrun Inc,2024-11-07,"['11.04%', '7.82%', '-17.97%', '10.12%', '7.62%', '-15.66%', '-2.16%', '18.7%']",11.39%
SUP,Superior Industries International Inc,2024-11-07,"['8.0%', '6.17%', '-1.89%', '-4.33%', '7.5%', '-18.95%', '7.22%', '-2.91%']",7.12%
SYNA,Synaptics Inc,2024-11-07,"['0.53%', '-2.97%', '1.81%', '10.75%', '1.05%', '-16.22%', '-10.63%', '6.85%']",6.35%
SYBX,Synlogic Inc,2024-11-07,"['-4.27%', '-2.78%', '-6.32%', '-15.02%', '1.63%', '0.54%', '2.94%', '-6.81%']",5.04%
TCEYF,TCEYF,2024-11-07,['0.0%'],0.0%
TELA,TELA Bio Inc,2024-11-07,"['-22.94%', '16.8%', '7.1%', '-19.37%', '-3.31%', '-3.71%', '-5.91%', '24.62%']",12.97%
THPTF,THPTF,2024-11-07,['0.0%'],0.0%
THRY,Thryv Holdings Inc,2024-11-07,"['-21.97%', '-3.85%', '2.07%', '-9.36%', '4.9%', '3.87%', '-10.49%', '-0.33%']",7.1%
TDW,Tidewater Inc - New,2024-11-07,"['-3.64%', '13.44%', '14.37%', '-12.5%', '1.5%', '5.86%', '1.03%', '-0.77%']",6.64%
TTSH,Tile Shop Hldgs Inc,2024-11-07,"['1.67%', '-2.04%', '0.0%', '2.85%', '-10.0%', '-0.45%', '-5.11%', '15.69%']",4.73%
MTUS,TimkenSteel Corp,2024-11-07,"['-11.39%', '9.16%', '2.72%']",7.76%
TOST,Toast Inc - Class A,2024-11-07,"['-6.12%', '13.02%', '16.77%', '-13.68%', '14.64%', '8.53%', '-22.84%', '2.4%', '8.21%', '4.9%']",11.11%
TRMD,Torm Plc - Class A,2024-11-07,"['0.78%', '2.49%', '-1.66%', '3.12%', '0.45%', '-4.22%', '8.63%', '-1.38%']",2.84%
TSQ,Townsquare Media Inc - Class A,2024-11-07,"['1.19%', '-3.33%', '2.03%', '1.49%', '-19.7%', '0.81%', '15.7%', '1.78%']",5.75%
TTD,Trade Desk Inc - Class A,2024-11-07,"['12.5%', '3.08%', '17.46%', '-16.66%', '-4.74%', '-0.68%', '32.81%', '-8.02%']",11.99%
TACT,Transact Technologies Inc,2024-11-07,"['15.2%', '-23.88%', '-14.41%', '9.74%', '-9.53%', '24.83%', '-4.71%', '31.89%']",16.77%
TCI,Transcontinental Realty Investors Inc,2024-11-07,['-3.44%'],3.44%
TDG,Transdigm Group Incorporated,2024-11-07,"['2.31%', '0.67%', '-1.61%', '8.7%', '-2.77%', '4.68%', '3.07%', '9.82%']",4.2%
TG,Tredegar Corp,2024-11-07,"['7.37%', '-6.87%', '-1.81%', '8.31%', '-2.4%', '-14.16%', '0.57%', '-2.51%']",5.5%
TCX,Tucows Inc - Class A,2024-11-07,"['-4.66%', '-6.89%', '-4.03%', '18.09%', '-8.51%', '-10.39%', '2.02%', '-20.73%']",9.42%
TPB,Turning Point Brands Inc,2024-11-07,"['1.33%', '11.58%', '7.58%', '4.64%', '6.54%', '-2.16%', '10.96%', '8.46%']",6.66%
HEAR,Turtle Beach Corp,2024-11-07,"['15.21%', '5.17%', '26.47%', '12.64%', '8.49%', '16.1%', '5.83%', '23.68%']",14.2%
UACJF,UACJF,2024-11-07,['0.0%'],0.0%
UFGSY,UFGSY,2024-11-07,['0.0%'],0.0%
USFD,US Foods Holding Corp,2024-11-07,"['0.41%', '4.62%', '3.45%', '0.51%', '-2.98%', '5.01%', '3.6%', '10.43%']",3.88%
UTDAY,UTDAY,2024-11-07,['0.0%'],0.0%
UWMC,UWM Holdings Corporation Class A,2024-11-07,"['-2.75%', '5.03%', '-5.07%', '14.17%', '5.23%', '-18.01%', '7.98%', '20.06%']",9.79%
VTGN,VistaGen Therapeutics Inc,2024-11-07,"['-3.24%', '-2.12%', '10.0%', '-11.07%', '-14.63%', '4.65%', '-26.92%', '23.08%']",11.96%
VST,Vistra Corp,2024-11-07,"['6.94%', '9.13%', '4.0%', '-1.64%', '5.17%', '5.22%', '-1.27%', '-1.64%']",4.38%
VITL,Vital Farms Inc,2024-11-07,"['-9.27%', '26.95%', '4.74%', '0.97%', '25.9%', '14.85%', '4.31%', '3.86%']",11.36%
SEAT,Vivid Seats Inc - Class A,2024-11-07,"['2.14%', '-1.46%', '-10.39%', '15.84%', '-7.33%', '11.41%', '18.04%', '-0.36%']",8.37%
VUZI,Vuzix Corporation,2024-11-07,"['-9.47%', '2.56%', '-2.44%', '-17.31%', '-3.4%', '-12.85%', '-4.15%']",7.45%
WANHY,WANHY,2024-11-07,['0.0%'],0.0%
WDGJF,WDGJF,2024-11-07,"['1.16%', '0.0%']",0.58%
KLG,WK Kellogg Company,2024-11-07,"['-6.96%', '3.1%', '8.09%', '2.29%']",5.11%
WSTTF,WSTTF,2024-11-07,['0.0%'],0.0%
WRBY,Warby Parker Inc - Class A,2024-11-07,"['-0.14%', '18.01%', '-14.96%', '-23.99%', '-3.47%', '0.33%', '-0.46%', '14.89%']",9.53%
WBD,Warner Bros. Discovery Inc - Class A,2024-11-07,"['-8.95%', '3.08%', '-9.94%', '2.55%', '2.71%', '4.54%', '-1.14%', '-12.87%']",5.72%
WVE,Wave Life Sciences Ltd,2024-11-07,"['-4.01%', '-1.54%', '31.32%', '-9.55%', '15.79%', '1.9%', '-10.38%', '5.84%']",10.04%
WEST,Westrock Coffee Company,2024-11-07,"['-0.86%', '-1.59%', '14.22%', '-11.59%', '-5.14%', '-5.95%', '-3.28%']",6.09%
IHRT,iHeartMedia Inc - Class A New,2024-11-07,"['1.4%', '-36.11%', '22.03%', '-15.96%', '-16.52%', '-13.3%', '-23.42%', '8.4%']",17.14%
LASR,nLIGHT Inc,2024-11-07,"['-2.94%', '5.02%', '-11.95%', '5.54%', '-12.44%', '38.14%', '-11.86%', '-10.96%']",12.36%
AAUAF,AAUAF,2024-11-08,"['0.0%', '0.0%', '8.33%', '0.0%']",2.08%
AMCX,AMC Networks Inc - Class A,2024-11-08,"['-5.44%', '-3.57%', '-15.43%', '13.81%', '13.36%', '5.43%', '32.34%', '-11.76%']",12.64%
APEMY,APEMY,2024-11-08,['0.0%'],0.0%
APMSF,APMSF,2024-11-08,['0.0%'],0.0%
ARHVF,ARHVF,2024-11-08,['0.0%'],0.0%
ASCCF,ASCCF,2024-11-08,['-3.35%'],3.35%
ASCCY,ASCCY,2024-11-08,['7.04%'],7.04%
ADNT,Adient plc,2024-11-08,"['-5.96%', '-9.3%', '-7.67%', '-8.71%', '1.33%', '-7.64%', '-0.44%', '14.2%']",6.91%
WMS,Advanced Drainage Systems Inc,2024-11-08,"['-1.86%', '-2.12%', '14.4%', '-0.94%', '0.69%', '10.97%', '-16.96%', '-25.02%']",9.12%
ATSG,Air Transport Services Group Inc,2024-11-08,"['17.35%', '11.02%', '-4.11%', '-22.86%', '14.91%', '-24.82%', '-18.8%', '3.11%']",14.62%
AIRS,Airsculpt Technologies Inc,2024-11-08,"['5.26%', '1.02%', '-12.06%', '-2.06%', '-0.71%', '-1.78%', '37.42%', '-21.99%']",10.29%
AXL,American Axle & Manufacturing Holdings Inc,2024-11-08,"['4.83%', '2.32%', '-3.16%', '11.38%', '-10.89%', '9.94%', '-7.96%', '-12.04%']",7.81%
AMRX,Amneal Pharmaceuticals Inc - Class A,2024-11-08,"['-1.54%', '8.86%', '-0.91%', '2.38%', '22.32%', '4.35%', '-4.78%', '1.92%', '-8.09%', '-6.98%']",6.21%
ANAB,AnaptysBio Inc,2024-11-08,"['-0.9%', '-10.75%', '11.61%', '8.21%', '2.65%', '-6.31%', '-2.39%', '-0.95%']",5.47%
CRBKF,CRBKF,2024-11-08,['0.0%'],0.0%
CRCUF,CRCUF,2024-11-08,['0.0%'],0.0%
CRLBF,CRLBF,2024-11-08,"['12.31%', '3.47%', '14.74%', '7.74%', '4.81%', '13.86%', '-2.3%', '-0.03%']",7.41%
CSAMF,CSAMF,2024-11-08,['0.0%'],0.0%
CVHSY,CVHSY,2024-11-08,['-1.05%'],1.05%
CVPBF,CVPBF,2024-11-08,['0.0%'],0.0%
CVPUF,CVPUF,2024-11-08,['0.0%'],0.0%
CWVLF,CWVLF,2024-11-08,['0.0%'],0.0%
CNTY,Century Casinos Inc,2024-11-08,"['-0.85%', '-3.18%', '-0.32%', '0.66%', '-5.17%', '0.28%', '-16.41%', '-5.78%', '-3.01%', '-2.17%', '-9.2%']",4.28%
DAIUF,DAIUF,2024-11-08,['-0.86%'],0.86%
DNGDF,DNGDF,2024-11-08,['1.88%'],1.88%
DTMXF,DTMXF,2024-11-08,"['7.81%', '0.33%', '0.0%']",2.71%
DWAHF,DWAHF,2024-11-08,['0.0%'],0.0%
DCBO,Docebo Inc,2024-11-08,"['14.36%', '-22.91%', '16.37%', '3.94%', '3.96%', '-17.57%', '2.8%', '20.36%']",12.78%
EAPBF,EAPBF,2024-11-08,['0.0%'],0.0%
ECO,ECHO BAY MINES LTD,2024-11-08,['2.87%'],2.87%
ECMPF,ECMPF,2024-11-08,['0.0%'],0.0%
ELRFF,ELRFF,2024-11-08,['-8.33%'],8.33%
ERRAF,ERRAF,2024-11-08,['0.0%'],0.0%
EXMRF,EXMRF,2024-11-08,['0.0%'],0.0%
EYPT,EyePoint Pharmaceuticals Inc,2024-11-08,"['-4.1%', '-2.61%', '-1.67%', '20.27%', '0.71%', '21.73%', '-8.83%', '-5.35%']",8.16%
FKCIF,FKCIF,2024-11-08,['0.0%'],0.0%
FRTAF,FRTAF,2024-11-08,['0.0%'],0.0%
FRTAY,FRTAY,2024-11-08,['0.0%'],0.0%
IMDZF,IMDZF,2024-11-08,"['0.0%', '0.0%']",0.0%
IMHDF,IMHDF,2024-11-08,['0.0%'],0.0%
ITAYY,ITAYY,2024-11-08,['0.0%'],0.0%
IEP,Icahn Enterprises L P,2024-11-08,"['-4.42%', '8.1%', '-0.72%', '13.08%', '-23.23%', '-15.14%', '0.33%', '2.09%']",8.39%
IMXI,International Money Express Inc,2024-11-08,"['-20.16%', '2.19%', '-7.4%', '11.28%', '-18.99%', '-1.57%', '-2.61%', '-15.41%']",9.95%
INUV,Inuvo Inc,2024-11-08,"['-12.5%', '-5.71%', '-19.61%', '5.26%', '8.7%', '6.67%', '-12.12%', '-18.6%']",11.15%
JPTXF,JPTXF,2024-11-08,['0.0%'],0.0%
KRLTF,KRLTF,2024-11-08,['0.0%'],0.0%
KUBTF,KUBTF,2024-11-08,['0.0%'],0.0%
LGMMY,LGMMY,2024-11-08,['0.0%'],0.0%
LAMR,Lamar Advertising Co - Class A,2024-11-08,"['2.24%', '1.0%', '-2.44%', '12.42%', '-4.89%', '-5.03%', '-2.73%', '-1.05%']",3.98%
LIQT,LiqTech International Inc,2024-11-08,"['-7.11%', '-1.51%', '-4.05%', '0.0%', '-0.76%', '0.0%', '6.82%', '4.65%', '-2.04%', '-45.65%', '-36.32%', '3.82%']",9.39%
MCBK,MCBK,2024-11-08,['0.0%'],0.0%
MDNDF,MDNDF,2024-11-08,['0.0%'],0.0%
MOLFF,MOLFF,2024-11-08,['0.0%'],0.0%
MOPLF,MOPLF,2024-11-08,['0.0%'],0.0%
MMI,Marcus & Millichap Inc,2024-11-08,"['-2.0%', '0.0%', '-1.3%', '7.01%', '-1.53%', '1.69%', '1.59%', '0.38%']",1.94%
NHPCF,NHPCF,2024-11-08,['0.0%'],0.0%
NKOKF,NKOKF,2024-11-08,['0.0%'],0.0%
NNCHF,NNCHF,2024-11-08,['-19.75%'],19.75%
PAGP,Plains GP Holdings LP - Class A,2024-11-08,"['-3.11%', '1.88%', '0.87%', '-0.92%', '1.69%', '5.39%', '-0.79%', '3.25%']",2.24%
RPGRF,RPGRF,2024-11-08,['0.0%'],0.0%
RPGRY,RPGRY,2024-11-08,['6.9%'],6.9%
RSOTF,RSOTF,2024-11-08,['0.0%'],0.0%
SHHPF,SHHPF,2024-11-08,['0.0%'],0.0%
SLTTF,SLTTF,2024-11-08,['0.0%'],0.0%
SNWVD,SNWVD,2024-11-08,['3.9%'],3.9%
SRNN,SRNN,2024-11-08,"['0.0%', '0.0%']",0.0%
SSDOF,SSDOF,2024-11-08,['-4.67%'],4.67%
SUMCF,SUMCF,2024-11-08,['-1.81%'],1.81%
SUOPY,SUOPY,2024-11-08,['-7.69%'],7.69%
SHCO,Soho House & Co Inc Class A,2024-11-08,"['3.71%', '2.73%', '-13.57%', '-21.1%', '14.87%', '-6.73%', '18.21%', '-18.74%']",12.46%
STER,Sterling Check Corp,2024-11-08,"['1.84%', '-1.03%', '26.17%', '-2.09%', '11.22%', '7.81%', '3.67%', '-16.82%', '12.22%']",9.21%
TAWNF,TAWNF,2024-11-08,['0.0%'],0.0%
TCNRF,TCNRF,2024-11-08,['0.0%'],0.0%
TIXT,TELUS International (Cda) Inc (Sub Voting),2024-11-08,"['-35.96%', '-18.15%', '2.51%', '-5.53%', '3.76%', '-5.71%', '-3.03%', '-5.22%']",9.98%
EVGN,Evogene Ltd,2024-11-10,"['-10.8%', '-2.7%', '3.23%', '4.76%', '-19.23%', '-4.55%', '-4.17%', '1.37%']",6.35%
FGOVF,FGOVF,2024-11-10,['0.46%'],0.46%
RDNT,Radnet Inc,2024-11-10,"['8.4%', '5.81%', '17.14%', '2.61%', '-6.04%', '-0.66%', '12.04%', '-11.18%']",7.98%
STLRF,STLRF,2024-11-10,['0.0%'],0.0%
